Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,1322.550049,1329.500000,1318.099976,1319.500000,1278.159058,4277841
2023-06-02,1309.000000,1312.900024,1296.050049,1299.000000,1275.214111,10909311
2023-06-05,1304.000000,1309.449951,1297.300049,1304.500000,1280.613403,5002553
2023-06-06,1288.599976,1288.599976,1273.000000,1279.000000,1255.580322,10008100
2023-06-07,1290.500000,1294.000000,1282.500000,1288.949951,1265.348022,5397578
2023-06-08,1286.199951,1292.000000,1281.099976,1282.800049,1259.310791,5034942
2023-06-09,1282.500000,1282.500000,1264.000000,1265.949951,1242.769165,5339073
2023-06-12,1273.500000,1295.699951,1273.000000,1291.949951,1268.293091,4785588
2023-06-13,1299.900024,1306.500000,1297.050049,1304.849976,1280.956909,4846587
2023-06-14,1306.349976,1306.699951,1293.199951,1300.400024,1276.588501,3457981
2023-06-15,1293.949951,1293.949951,1282.650024,1286.800049,1263.237427,6161155
2023-06-16,1287.000000,1301.500000,1281.050049,1291.650024,1267.998779,8536287
2023-06-19,1294.000000,1299.500000,1287.050049,1294.000000,1270.305664,4451787
2023-06-20,1294.000000,1305.000000,1291.099976,1303.400024,1279.533569,4009180
2023-06-21,1299.949951,1303.800049,1295.000000,1299.349976,1275.557739,4041529
2023-06-22,1289.400024,1289.400024,1273.500000,1281.550049,1258.083618,6676607
2023-06-23,1276.449951,1279.349976,1263.349976,1265.000000,1241.836670,7239467
2023-06-26,1270.250000,1274.000000,1262.250000,1270.349976,1247.088623,3403244
2023-06-27,1280.000000,1282.000000,1274.199951,1279.150024,1255.727539,3240024
2023-06-28,1290.000000,1296.699951,1281.400024,1293.349976,1269.667603,5662358
2023-06-30,1308.199951,1338.900024,1304.449951,1335.500000,1311.045776,12821692
2023-07-03,1330.000000,1346.000000,1328.449951,1333.699951,1309.278687,7732412
2023-07-04,1344.300049,1346.000000,1331.400024,1345.150024,1320.519043,5797775
2023-07-05,1357.849976,1357.949951,1341.000000,1347.300049,1322.629639,5414936
2023-07-06,1342.550049,1347.449951,1337.150024,1343.900024,1319.291870,5963897
2023-07-07,1334.000000,1345.800049,1325.349976,1330.199951,1305.842651,6295647
2023-07-10,1336.550049,1341.900024,1319.300049,1329.150024,1304.812012,3940315
2023-07-11,1333.449951,1350.900024,1327.000000,1348.599976,1323.905762,6126128
2023-07-12,1351.000000,1351.900024,1327.000000,1333.300049,1308.886108,8102770
2023-07-13,1334.900024,1376.800049,1330.849976,1365.099976,1340.103760,9977644
2023-07-14,1380.650024,1430.000000,1380.650024,1425.949951,1399.839478,12833381
2023-07-17,1425.949951,1458.949951,1414.300049,1422.949951,1396.894409,11569884
2023-07-18,1434.000000,1477.949951,1429.000000,1475.199951,1448.187622,16743977
2023-07-19,1486.000000,1498.800049,1460.699951,1474.949951,1447.942261,13687062
2023-07-20,1471.000000,1471.000000,1440.699951,1449.500000,1422.958252,8347221
2023-07-21,1320.199951,1350.000000,1305.000000,1331.599976,1307.217163,45548305
2023-07-24,1341.000000,1349.900024,1334.250000,1336.599976,1312.125488,8859789
2023-07-25,1337.000000,1342.849976,1324.250000,1334.599976,1310.162231,6801982
2023-07-26,1343.000000,1350.000000,1339.400024,1348.849976,1324.151245,5528885
2023-07-27,1358.599976,1363.800049,1347.050049,1353.150024,1328.372559,9191861
2023-07-28,1353.849976,1363.849976,1336.000000,1340.500000,1315.954224,6122735
2023-07-31,1348.750000,1357.500000,1333.250000,1355.699951,1330.875854,7902180
2023-08-01,1362.000000,1369.000000,1357.000000,1365.199951,1340.201904,6064652
2023-08-02,1369.300049,1371.949951,1348.449951,1356.849976,1332.004761,7419145
2023-08-03,1350.000000,1366.550049,1349.000000,1364.300049,1339.318481,6503741
2023-08-04,1368.900024,1385.900024,1362.000000,1378.349976,1353.111084,5712345
2023-08-07,1387.900024,1395.000000,1377.000000,1393.000000,1367.492920,3729093
2023-08-08,1392.849976,1393.550049,1384.400024,1390.199951,1364.744141,4161877
2023-08-09,1384.000000,1396.000000,1382.500000,1394.400024,1368.867310,4090828
2023-08-10,1391.599976,1395.800049,1385.599976,1389.099976,1363.664307,3873025
2023-08-11,1392.000000,1396.849976,1367.050049,1371.849976,1346.730225,5783517
2023-08-14,1371.849976,1395.000000,1365.599976,1393.550049,1368.032837,4304135
2023-08-16,1410.800049,1419.949951,1405.400024,1418.500000,1392.525879,7735313
2023-08-17,1420.000000,1420.000000,1406.000000,1411.550049,1385.703247,5618346
2023-08-18,1403.699951,1408.699951,1386.150024,1388.800049,1363.369751,5134103
2023-08-21,1389.750000,1407.000000,1387.150024,1405.400024,1379.665894,3032722
2023-08-22,1404.699951,1406.050049,1396.650024,1403.750000,1378.046021,2890714
2023-08-23,1416.000000,1416.599976,1405.650024,1407.949951,1382.169067,2559125
2023-08-24,1421.500000,1425.050049,1414.449951,1423.599976,1397.532471,5171963
2023-08-25,1413.000000,1422.500000,1411.400024,1420.099976,1394.096680,4307172
2023-08-28,1420.099976,1424.800049,1411.400024,1415.650024,1389.728149,3133464
2023-08-29,1424.000000,1424.400024,1415.300049,1417.650024,1391.691528,3074444
2023-08-30,1427.000000,1436.650024,1424.000000,1435.150024,1408.871094,3070887
2023-08-31,1435.150024,1444.900024,1428.650024,1435.449951,1409.165527,9792735
2023-09-01,1430.949951,1446.000000,1428.199951,1443.849976,1417.411743,3582133
2023-09-04,1443.000000,1470.000000,1434.699951,1465.099976,1438.272583,4609014
2023-09-05,1465.000000,1480.050049,1456.500000,1478.900024,1451.820068,5496840
2023-09-06,1481.900024,1482.900024,1463.300049,1477.449951,1450.396362,5075786
2023-09-07,1470.599976,1473.400024,1462.050049,1466.199951,1439.352417,4411743
2023-09-08,1463.500000,1474.750000,1460.199951,1469.599976,1442.690186,3125838
2023-09-11,1469.599976,1478.050049,1464.500000,1476.449951,1449.414795,4182226
2023-09-12,1482.500000,1504.000000,1477.099976,1501.099976,1473.613403,6793161
2023-09-13,1505.000000,1505.000000,1488.650024,1498.349976,1470.913818,4804686
2023-09-14,1505.000000,1512.550049,1499.150024,1506.949951,1479.356201,6444213
2023-09-15,1518.000000,1518.400024,1509.000000,1511.599976,1483.921265,8657816
2023-09-18,1504.900024,1504.900024,1488.000000,1491.800049,1464.483765,3991916
